"search_phrase","count","Explict"
"TOPLESS","4","1"
"TRANNY","4","1"
"TUBEPORNSTARS","4","1"
"TUSHY","4","1"
"TUSHY.COM","4","1"
"UPORNIA","4","1"
"WWW.XHAMSTER.COM","4","1"
"XH","4","1"
"XHAMASTER","4","1"
"XHAMSTE","4","1"
"XHAMSTER COM","4","1"
"XHAMSTER GAY","4","1"
"XHAMTER","4","1"
"XHANSTER","4","1"
"XMOVIES","4","1"
"XMXX","4","1"
"XVIDEOS HISTORY","4","1"
"XVIDESO","4","1"
"XXVIDEO","4","1"
"XXXI VIDEO","4","1"
"YOU JIZZ","4","1"
"ADULT CHAT","5","1"
"ADULT MOVIES","5","1"
"AZNUDE","5","1"
"CUM4K","5","1"
"EARRAPE","5","1"
"EROME.COM","5","1"
"FOOT FETISH","5","1"
"GANG BANG","5","1"
"GAY MEN","5","1"
"GAYPORN","5","1"
"HDPORNCOMICS","5","1"
"HENTI HAVEN","5","1"
"HOT GIRL","5","1"
"HOT GIRLS","5","1"
"INDIANA MOM SHAKES HER INFANT TO DEATH","5","1"
"ISHOWSPEED SHOWS MEAT","5","1"
"IXXX.COM","5","1"
"JERKING OFF","5","1"
"KINK.COM","5","1"
"KINKS","5","1"
"LESBIAN SEDUCTION","5","1"
"LIVEJASMIN","5","1"
"LUST","5","1"
"MATURE WOMEN","5","1"
"MATURETUBE","5","1"
"PORNMD","5","1"
"PORNTREX","5","1"
"PORRNHUB","5","1"
"POTNHUB","5","1"
"PRETEND YOURE XYZZY","5","1"
"RULE 34 WORLD","5","1"
"SHEMALETUBE","5","1"
"SHIT","5","1"
"SXYPRN","5","1"
"TEEN BEACH MOVIE","5","1"
"THEPORNDUDE","5","1"
"THOTHUB","5","1"
"TRANNYONE","5","1"
"TUBE 8","5","1"
"VOYEURWEB","5","1"
"WETPUSSYGAMES","5","1"
"WOMEN MASTURBATING","5","1"
"XHAM","5","1"
"XHAMS","5","1"
"XHAMST","5","1"
"XMOVIES8","5","1"
"XVIEOS","5","1"
"2 GIRLS 1 CUP","6","1"
"ADULT EMPIRE","6","1"
"ADULT GAMES","6","1"
"ALLPORNCOMIC","6","1"
"BBW","6","1"
"BLOW JOBS","6","1"
"CAUGHT MASTURBATING","6","1"
"CUMMING","6","1"
"FULLPORNER","6","1"
"GAYMALETUBE","6","1"
"ISHOWSPEED MEAT","6","1"
"KINK","6","1"
"MAN DIES AFTER FALLING WHILE HIKING","6","1"
"MAN FILMED HIS OWN DROWNING","6","1"
"MAN FOUND DEAD AFTER CONCERT","6","1"
"PERVMOM","6","1"
"PORBHUB","6","1"
"PRN","6","1"
"PUTLOCKERS","6","1"
"RACIST JOKES","6","1"
"RULE34.XX","6","1"
"TEEN MODELS","6","1"
"VIRGIN","6","1"
"XNXX.XOM","6","1"
"XPORN","6","1"
"YOUJIZZ.COM","6","1"
"BIG DICK","7","1"
"BLOW JOB","7","1"
"CREAMPIE","7","1"
"CUMSHOTS","7","1"
"DEEP THROAT","7","1"
"EHENTAI","7","1"
"FEMBOYS","7","1"
"FEMDOM","7","1"
"GAY MALE TUBE","7","1"
"GLORY HOLE","7","1"
"MILFS","7","1"
"ORGY","7","1"
"PHUB","7","1"
"PONHUB","7","1"
"PORNHB","7","1"
"RACISM","7","1"
"SPANK","7","1"
"STRIP CLUB","7","1"
"TEEN STABBED OUTSIDE","7","1"
"UPORN","7","1"
"XNNX","7","1"
"XVIDE","7","1"
"BANGBUS","8","1"
"BIG BOOTY","8","1"
"BOOB","8","1"
"CUCKOLD","8","1"
"EROTHOTS","8","1"
"HOT WOMEN","8","1"
"MATURE","8","1"
"NAZI","8","1"
"NIGGARDLY","8","1"
"NUDEVISTA","8","1"
"PORNICHET","8","1"
"REALLIFECAM","8","1"
"XVIDS","8","1"
"XXXVIDEO","8","1"
"ADULT","9","1"
"ADULT TOYS","9","1"
"BOOTY","9","1"
"CUMSHOT COMPILATION","9","1"
"HENTAIFOX","9","1"
"HENTIA","9","1"
"HOTTOPIC","9","1"
"LEAKED","9","1"
"MAN DIES AFTER 40 FOOT DIVE","9","1"
"MATURE TUBE","9","1"
"NIGGA","9","1"
"POENHUB","9","1"
"RULE 34 VIDEO","9","1"
"RULE34 VIDEO","9","1"
"SEX.COM","9","1"
"SPANKBANK","9","1"
"WWW.XNXX.COM","9","1"
"BADDIE HUB","10","1"
"FEET FINDER","10","1"
"HENTI","10","1"
"IMHENTAI","10","1"
"LIVELEAK","10","1"
"NONUDE LITTLE","10","1"
"ONLYFANS.COM","10","1"
"REDTUBE.COM","10","1"
"RULE34VIDEO","10","1"
"WWW.XVIDEOS.COM","10","1"
"XVID","10","1"
"YOUNG GIRL WEBCAM","10","1"
"IXXX","11","1"
"JAV","11","1"
"MAN DROWNS AFTER RESCUING 2 CHILDREN","11","1"
"ONLYFANS LEAKS","11","1"
"TITTIES","11","1"
"XNX","11","1"
"XNXXX","11","1"
"XVIDEO.COM","11","1"
"XVIDEOS COM","11","1"
"BOOBIES","12","1"
"CORNHUB","12","1"
"SHEMALE","12","1"
"SPANKBANG.COM","12","1"
"X X","12","1"
"XN","12","1"
"XXVIDEOS","12","1"
"FURRY","13","1"
"TUBEGALORE","13","1"
"CONDOMS","14","1"
"GORE","14","1"
"KISSASIAN","14","1"
"LESBIAN","14","1"
"PRONHUB","14","1"
"BLACKED","15","1"
"FEETFINDER","15","1"
"PORNH","16","1"
"SPANK BANG","16","1"
"MULTPORN","17","1"
"PORMHUB","17","1"
"BADDIEHUB","19","1"
"XHAMPSTER","19","1"
"NIGGER","20","1"
"GRANNY","22","1"
"TUBE8","22","1"
"JERKMATE","23","1"
"DICK","24","1"
"XHAMSTER.COM","24","1"
"EROME","28","1"
"POOP","28","1"
"GAY","29","1"
"ONLYFANS SIGN IN","29","1"
"EPORNER","30","1"
"EXTREME VIOLENCE MOD SIMS 4","30","1"
"FEMBOY","31","1"
"XXNX","35","1"
"PUTLOCKER","39","1"
"XVIDEOS.COM","53","1"
"RULE34","75","1"
"XVIDEO","150","1"
"RULE 34","158","1"
"ONLYFANS","176","1"
"XHAMSTER","241","1"
"XVIDEOS","486","1"
